In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667794703,2300.014,ea:61:92:f4:66:a4,90.00B,90.00B,16.301995754241943
Both,1575667794706,2300.014,72:a8:7f:25:fb:d0,90.00B,90.00B,16.3048038482666
Both,1575667794705,2300.014,26:e2:82:7f:c4:72,90.00B,90.00B,16.387839555740356
Both,1575667794705,2300.014,52:89:90:e8:01:09,180.00B,180.00B,16.406118869781494
Both,1575667794708,2300.014,3e:d5:2a:bd:c9:de,90.00B,90.00B,16.799453735351562
Both,1575667794712,2300.014,7e:65:3d:f9:33:f3,90.00B,90.00B,16.92129898071289
Both,1575667794708,2300.014,42:3e:83:7b:0b:bb,180.00B,90.00B,17.007096767425537
Both,1575667794709,2300.014,8e:69:83:37:0b:0b,90.00B,90.00B,17.155475854873657
Both,1575667794708,2300.014,da:65:f4:15:45:ca,90.00B,90.00B,17.1924786567688
Both,1575667794703,2300.014,c6:93:b6:28:ff:9a,90.00B,90.00B,20.030718564987183
Both,1575667794702,2300.014,6e:49:66:c3:8d:21,90.00B,90.00B,20.010035753250122
Both,1575667794702,2300.014,2a:fa:26:fb:89:d3,90.00B,90.00B,20.162108182907104
Both,1575667794703,2300.014,d6:54:6d:90:bf:e5,90.00B,90.00B,20.15954852104187
Both,1575667794716,2300.014,b2:d3:27:73:70:1c,90.00B,90.00B,20.24894094467163
Both,1575667794669,2500.002,a2:6c:2e:54:ab:3a,90.00B,90.00B,21.465240478515625
Both,1575667794695,2500.002,36:d0:76:95:f2:4e,90.00B,90.00B,21.48267102241516
Both,1575667794681,2500.01,e6:50:f7:47:66:1d,90.00B,90.00B,21.9624605178833
Both,1575667794684,2500.01,4e:ff:7f:76:3d:fa,90.00B,90.00B,22.099239587783813
Both,1575667794685,2500.0,5a:44:cc:dc:86:2f,90.00B,90.00B,22.14140820503235
Both,1575667794687,2500.0,0e:c8:95:4f:e9:0f,90.00B,90.00B,22.1533944606781
Both,1575667794693,2500.012,6a:91:de:17:7b:06,90.00B,90.00B,22.177166223526
Both,1575667794684,2500.012,42:90:ee:bb:93:36,180.00B,90.00B,22.191713333129883
Both,1575667794692,2500.012,76:47:15:57:61:00,90.00B,90.00B,22.21373677253723
Both,1575667794701,2300.014,ea:70:56:9a:74:fb,90.00B,90.00B,22.262211799621582
Both,1575667794689,2300.014,6a:4e:0c:c1:6e:0d,90.00B,90.00B,22.275997161865234
Both,1575667794675,2500.012,b2:89:75:bd:42:18,90.00B,90.00B,22.31132459640503
Both,1575667794696,2300.014,e2:4b:d9:fe:28:2f,90.00B,90.00B,22.2914400100708
Both,1575667794673,2500.01,5e:95:48:e1:98:02,90.00B,90.00B,22.329077005386353
Both,1575667794686,2500.006,ae:aa:0b:16:30:84,90.00B,90.00B,22.32163095474243
Both,1575667794669,2500.01,5a:f3:1a:41:a0:eb,90.00B,90.00B,22.33742594718933
Both,1575667794681,2500.01,22:09:a2:d7:0b:43,90.00B,90.00B,22.331018447875977
Both,1575667794699,2300.014,4e:27:e4:8e:e0:37,90.00B,90.00B,22.316177129745483
Both,1575667794655,2500.012,3e:12:0f:e5:e2:83,90.00B,90.00B,22.38161826133728
Both,1575667794692,2500.006,e6:4a:c8:e6:a6:17,90.00B,90.00B,22.340672731399536
Both,1575667794683,2500.01,1a:2a:df:e1:6e:1e,90.00B,90.00B,22.367597579956055
Both,1575667794651,2500.006,6a:9b:02:b8:27:0b,90.00B,90.00B,22.4072003364563
Both,1575667794671,2500.006,fe:a3:85:65:aa:aa,90.00B,90.00B,22.38768982887268
Both,1575667794653,2500.006,ee:ab:44:a9:1e:30,90.00B,90.00B,22.41338586807251
Both,1575667794676,2500.006,02:b7:3c:0b:ac:26,90.00B,90.00B,22.40630841255188
Both,1575667794649,2500.006,3a:eb:5c:e7:8b:f4,90.00B,90.00B,22.450511932373047
Both,1575667794679,2500.006,86:e4:5f:be:31:18,90.00B,90.00B,22.42469334602356
Both,1575667794679,2500.008,0a:2f:db:cd:38:97,90.00B,176.00B,22.425969123840332
Both,1575667794679,2500.008,7e:10:03:f3:db:f6,176.00B,90.00B,22.424274444580078
Both,1575667794699,2300.014,d2:05:d3:d9:78:5b,90.00B,90.00B,22.410420179367065
Both,1575667794696,2300.014,92:00:2a:b6:38:55,90.00B,90.00B,22.423795461654663
Both,1575667794681,2500.006,a6:fd:d4:9d:8e:f7,90.00B,90.00B,22.43424701690674
Both,1575667794678,2500.008,8e:88:bc:72:a3:8a,90.00B,90.00B,22.448271989822388
Both,1575667794675,2500.008,b2:fd:e0:7d:e1:af,90.00B,90.00B,22.448018312454224
Both,1575667794676,2500.006,12:ce:c6:38:c5:62,90.00B,90.00B,22.489147186279297
Both,1575667794654,2500.002,d2:cb:89:f7:39:97,90.00B,90.00B,22.5195791721344
Both,1575667794653,2500.002,9a:bb:8e:36:a8:a9,90.00B,90.00B,22.52010202407837
Both,1575667794683,2500.012,32:e4:73:ea:5e:b3,90.00B,90.00B,22.50252342224121
Both,1575667794657,2500.002,26:7f:65:17:d3:34,90.00B,90.00B,22.54908037185669
Both,1575667794682,2500.002,0a:85:9a:c7:ec:46,90.00B,90.00B,22.524418830871582
Both,1575667794680,2500.002,92:9b:32:de:8e:49,90.00B,180.00B,22.53252410888672
Both,1575667794698,2500.012,4e:59:b9:3d:b5:d3,90.00B,90.00B,22.609445571899414
Both,1575667794697,2500.012,66:3a:52:cf:75:29,90.00B,90.00B,22.627782583236694
Both,1575667794679,2500.012,ae:f4:a1:40:70:0b,90.00B,90.00B,22.547308206558228
Both,1575667794684,2500.002,76:d0:43:24:34:5a,90.00B,90.00B,22.52988052368164
Both,1575667794669,2500.0,46:cc:ae:df:40:a7,180.00B,90.00B,22.668392658233643
Both,1575667794684,2500.002,da:d2:1b:5f:e3:d9,90.00B,90.00B,22.53407120704651
Both,1575667794684,2500.0,ee:16:56:b3:33:a8,90.00B,90.00B,22.70021390914917
Both,1575667794669,2500.0,ee:16:1a:72:43:ae,90.00B,90.00B,22.71673321723938
Both,1575667794644,2500.012,7e:f2:ea:35:82:61,90.00B,90.00B,22.765553951263428
Both,1575667794694,2500.012,fa:42:b2:b2:24:5c,90.00B,90.00B,22.72670602798462
Both,1575667794684,2500.0,22:51:cc:ea:9d:a0,90.00B,176.00B,22.73412799835205
Both,1575667794687,2500.01,7a:15:09:14:e9:dd,90.00B,90.00B,22.72238779067993
Both,1575667794692,2500.0,f6:e5:d5:3a:a5:d3,90.00B,90.00B,22.748130083084106
Both,1575667794682,2500.012,72:e1:c8:c3:b7:ce,90.00B,90.00B,22.767300128936768
Both,1575667794684,2500.0,66:3d:e5:13:88:67,90.00B,90.00B,22.769075393676758
Both,1575667794650,2500.012,c6:23:62:a8:31:df,90.00B,90.00B,22.804506301879883
Both,1575667794689,2500.0,5a:1a:d4:fb:ce:60,90.00B,90.00B,22.777730703353882
Both,1575667794659,2500.012,da:df:7c:7b:4d:3c,90.00B,90.00B,22.798688173294067
Both,1575667794690,2500.0,0a:47:4e:53:58:c7,90.00B,90.00B,22.767848014831543
Both,1575667794685,2500.002,4a:0b:8d:64:7b:e7,90.00B,90.00B,22.786367177963257
Both,1575667794691,2500.0,7a:aa:76:65:d6:73,90.00B,90.00B,22.77689266204834
Both,1575667794687,2500.002,c2:36:f5:e9:7c:30,90.00B,90.00B,22.78976345062256
Both,1575667794680,2500.012,f2:34:bc:2f:52:f3,90.00B,90.00B,22.79800510406494
Both,1575667794652,2500.012,22:20:ee:40:bc:93,90.00B,90.00B,22.825958490371704
Both,1575667794659,2500.012,fa:92:ab:e5:d2:78,90.00B,90.00B,22.82467222213745
Both,1575667794646,2500.012,b2:8c:58:5b:ed:38,90.00B,90.00B,22.845051288604736
Both,1575667794682,2500.012,26:86:c3:d9:cd:b5,90.00B,90.00B,22.804749250411987
Both,1575667794683,2500.012,3e:97:4a:48:f5:c7,90.00B,90.00B,22.80474066734314
Both,1575667794679,2500.006,92:16:ab:0e:8d:69,90.00B,90.00B,22.822165489196777
Both,1575667794683,2500.012,fa:43:4b:e8:bd:f2,90.00B,90.00B,22.81580638885498
Both,1575667794684,2500.0,de:57:6b:79:63:fc,180.00B,90.00B,22.81733751296997
Both,1575667794651,2500.012,72:e3:db:a3:ff:28,90.00B,90.00B,22.858871459960938
Both,1575667794645,2500.01,6a:49:46:f2:e2:07,90.00B,90.00B,22.876280069351196
Both,1575667794684,2500.01,e2:ba:a0:5d:31:c4,90.00B,90.00B,22.864457845687866
Both,1575667794687,2500.002,86:7e:1f:03:a4:44,90.00B,90.00B,22.859081029891968
Both,1575667794680,2500.01,f2:59:71:fc:2f:9f,180.00B,90.00B,22.96617364883423
Both,1575667794645,2500.008,82:6a:a5:04:e2:8e,90.00B,90.00B,23.07434058189392
Both,1575667794644,2500.008,ee:3a:de:f9:e2:af,90.00B,90.00B,23.07966637611389
Both,1575667794644,2500.008,3e:7e:92:37:f2:b9,90.00B,90.00B,23.08103585243225
Both,1575667794644,2500.006,22:5e:89:55:f4:39,90.00B,90.00B,23.12285017967224
Both,1575667794644,2500.006,7a:15:f0:73:ee:0f,90.00B,90.00B,23.121753692626953
Both,1575667794647,2500.006,a6:ce:56:a3:ea:20,90.00B,90.00B,23.121066331863403
Both,1575667794654,2500.006,32:e3:2b:fa:9b:8d,90.00B,90.00B,23.122138738632202
Both,1575667794642,2500.006,5e:20:6e:30:4a:2c,90.00B,90.00B,23.13486933708191
Both,1575667794646,2500.006,1e:d7:9e:7b:f6:e0,90.00B,90.00B,23.14859628677368
Both,1575667794648,2500.006,ce:b3:a0:7a:58:87,90.00B,180.00B,23.154409408569336
Both,1575667794643,2500.006,ce:3a:3a:52:07:a7,90.00B,90.00B,23.171927213668823
Both,1575667794655,2500.006,ee:88:4c:21:d6:f3,90.00B,90.00B,23.191444635391235
Both,1575667794643,2500.006,86:82:a3:b4:be:0c,90.00B,90.00B,23.207099199295044
Both,1575667794644,2500.008,96:d5:8f:86:fd:31,90.00B,90.00B,23.62088418006897
Both,1575667794635,2500.002,c6:b3:a6:c6:3e:fb,90.00B,90.00B,24.659677267074585
Both,1575667794634,2500.006,9e:b3:23:b9:6b:cc,90.00B,90.00B,24.638914108276367
Both,1575667794646,2300.014,f6:33:d1:52:c8:16,90.00B,90.00B,24.649603605270386
Both,1575667794635,2300.016,c6:b1:eb:d2:2d:a8,90.00B,176.00B,24.643367052078247
Both,1575667794635,2500.002,76:c3:fb:08:d9:d5,90.00B,90.00B,24.673503160476685
Both,1575667794636,2500.002,86:ce:5b:53:4d:a9,180.00B,90.00B,24.72025489807129
Both,1575667794636,2500.002,f6:ed:60:3a:3a:9d,90.00B,176.00B,24.700916051864624
Both,1575667794633,2500.002,6e:33:63:7d:b2:ac,90.00B,90.00B,24.650880575180054
Both,1575667794642,2300.016,b2:37:3e:df:5d:57,90.00B,90.00B,24.678218364715576
Both,1575667794635,2500.006,0e:7b:80:45:10:15,90.00B,90.00B,24.635355710983276
Both,1575667794642,2300.014,16:49:f1:87:45:6a,90.00B,90.00B,24.631792068481445
Both,1575667794631,2500.002,c2:09:aa:8d:4b:7d,90.00B,90.00B,24.690686225891113
Both,1575667794632,2500.002,36:57:fd:f0:7c:e6,90.00B,90.00B,24.715620040893555
Both,1575667794638,2500.006,06:dd:a1:a6:16:2e,90.00B,90.00B,24.641842126846313
Both,1575667794634,2500.006,86:a2:7e:4d:e8:2e,176.00B,90.00B,24.64640474319458
Both,1575667794642,2300.014,3e:c8:9c:85:85:7d,90.00B,90.00B,24.718477725982666
Both,1575667794639,2300.014,a6:ab:15:73:0c:f6,90.00B,176.00B,24.69637680053711
Both,1575667794643,2300.014,4e:70:f6:03:96:20,180.00B,90.00B,24.63180112838745
Both,1575667794638,2500.006,de:8e:c5:f1:3a:1b,90.00B,90.00B,24.637906551361084
Both,1575667794632,2500.002,2a:59:64:51:68:bb,90.00B,90.00B,24.69245982170105
Both,1575667794638,2500.006,f6:25:fb:9f:1d:f2,90.00B,90.00B,24.647801637649536
Both,1575667794636,2500.002,06:f8:6b:85:9b:e9,90.00B,90.00B,24.71169424057007
Both,1575667794636,2500.002,0e:2b:b9:d9:66:c7,90.00B,176.00B,24.618884086608887
Both,1575667794641,2300.016,92:9d:b0:80:36:44,90.00B,90.00B,24.634782791137695
Both,1575667794645,2300.014,e2:e5:a6:5f:89:dc,90.00B,90.00B,24.640806198120117
Both,1575667794632,2500.002,66:a5:7f:9a:3b:c1,90.00B,90.00B,24.62423348426819
Both,1575667794635,2500.002,06:de:93:18:06:5a,90.00B,90.00B,24.692737579345703
Both,1575667794636,2500.002,36:eb:da:00:88:b7,90.00B,90.00B,24.69772171974182
Both,1575667794632,2500.002,2a:b5:a6:ce:f5:44,90.00B,90.00B,24.681737899780273
Both,1575667794632,2500.002,ea:d7:b1:3e:88:65,180.00B,90.00B,24.679715156555176
Both,1575667794636,2500.002,66:17:a7:b0:8c:47,176.00B,90.00B,24.676326751708984
Both,1575667794622,2500.012,26:9b:d3:73:7a:5f,90.00B,90.00B,28.94375777244568
Both,1575667794621,2500.012,52:98:78:b1:23:84,90.00B,90.00B,28.95585584640503
Both,1575667794622,2500.012,72:24:2a:45:93:35,90.00B,90.00B,28.94712543487549
Both,1575667794628,2500.012,32:4d:29:89:87:55,90.00B,90.00B,28.949648141860962
Both,1575667794623,2500.012,3e:be:0a:15:2b:5a,90.00B,90.00B,28.95150661468506
Both,1575667794628,2500.012,56:97:62:4a:52:59,90.00B,176.00B,28.954103708267212
Both,1575667794623,2500.012,d2:d1:ae:75:44:58,180.00B,90.00B,28.954485416412354
Both,1575667794630,2500.012,32:a8:51:bc:55:84,90.00B,90.00B,28.950064659118652
