Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Exec Time
1575609791720,1.10,2019-12-06 05:23:10,2000.082,eth0,192.168.1.1,b3:ec:64:49:73:ce,20.09682059288025
1575609792815,1.27,2019-12-06 05:23:11,2000.081,lo,127.0.0.1,9d:0e:88:bc:f4:f0,19.406519174575806
1575609792790,1.94,2019-12-06 05:23:10,2000.171,eth1,169.254.8.130,c5:69:23:8b:12:79,19.441767692565918
1575609796968,2.77,2019-12-06 05:23:13,2000.075,eth0,192.168.1.1,75:03:79:68:77:d6,17.85892391204834
1575609792768,1.42,2019-12-06 05:23:11,2000.132,lo,127.0.0.1,1b:9e:f9:9f:7a:07,25.7604718208313
1575609792576,1.67,2019-12-06 05:23:10,2000.182,lo,127.0.0.1,33:28:2e:64:bc:5d,27.224396467208862
1575609792670,1.38,2019-12-06 05:23:11,2000.167,eth2,169.254.8.1,7b:14:3d:45:af:70,33.532755613327026
1575609792766,1.28,2019-12-06 05:23:11,2000.167,lo,127.0.0.1,91:cb:e8:3f:32:6f,33.46482300758362
1575609792258,1.38,2019-12-06 05:23:10,2000.087,eth1,169.254.8.130,0f:e3:5a:7d:b6:07,35.19870042800903
1575609792294,1.30,2019-12-06 05:23:10,2000.087,eth2,169.254.8.1,5f:81:1a:db:6f:ca,35.30245614051819
1575609792802,1.51,2019-12-06 05:23:11,2000.169,eth0,192.168.1.1,23:1f:cc:8d:05:91,34.94772672653198
1575609792754,1.33,2019-12-06 05:23:10,2000.18,eth1,169.254.8.130,f3:8f:cc:c3:c6:76,35.169488191604614
1575609792715,1.25,2019-12-06 05:23:11,2000.18,eth2,169.254.8.1,99:28:7a:a8:43:1e,35.287354469299316
1575609793166,1.34,2019-12-06 05:23:11,2000.169,lo,127.0.0.1,79:2a:98:23:2e:39,35.022218465805054
1575609791897,1.45,2019-12-06 05:23:10,2200.0,eth2,169.254.8.1,fd:cf:b3:5e:1d:3f,36.7788782119751
1575609794219,2.47,2019-12-06 05:23:11,2000.177,lo,127.0.0.1,41:54:4b:76:12:4a,34.398194789886475
1575609794404,2.68,2019-12-06 05:23:11,2000.177,lo,127.0.0.1,29:be:00:5d:19:39,34.31718182563782
1575609793087,1.56,2019-12-06 05:23:11,2000.073,eth0,192.168.1.1,99:50:2c:d9:cc:00,35.76202702522278
1575609793195,1.88,2019-12-06 05:23:11,2000.073,eth2,169.254.8.1,a3:59:69:d3:3b:ee,35.87639856338501
1575609793288,1.43,2019-12-06 05:23:11,2000.177,eth2,169.254.8.1,05:ef:7c:2a:3e:c2,36.103341817855835
1575609792994,1.89,2019-12-06 05:23:11,2000.177,eth0,192.168.1.1,e7:83:69:7d:4d:6b,36.51695704460144
1575609792493,1.51,2019-12-06 05:23:10,2000.17,eth0,192.168.1.1,ed:05:e7:49:20:ed,37.61803412437439
1575609794823,2.85,2019-12-06 05:23:11,2000.184,eth2,169.254.8.1,13:9a:b2:0e:0c:4e,35.26079559326172
1575609792567,1.33,2019-12-06 05:23:11,2000.17,eth0,192.168.1.1,b3:f1:c4:32:de:16,37.817206382751465
1575609793306,2.02,2019-12-06 05:23:10,2000.161,eth2,169.254.8.1,fb:41:de:c0:86:91,37.16100263595581
1575609795514,2.27,2019-12-06 05:23:12,2000.184,eth1,169.254.8.130,4b:f6:90:9d:3d:e9,35.3208212852478
1575609792822,1.51,2019-12-06 05:23:10,2000.142,lo,127.0.0.1,4d:16:5c:d9:5e:67,38.72939205169678
1575609793833,1.59,2019-12-06 05:23:11,2000.161,eth1,169.254.8.130,ef:f9:5a:ea:43:43,37.80154633522034
1575609792971,1.49,2019-12-06 05:23:11,2000.142,eth2,169.254.8.1,93:f2:41:e2:0d:29,38.839900493621826
1575609789774,1977.98,2019-12-06 04:50:11,2000.161,eth1,169.254.8.130,a3:a5:8d:64:2a:f1,46.70378637313843
1575609792866,1.42,2019-12-06 05:23:11,2000.127,eth0,192.168.1.1,fd:15:6c:d4:90:e9,47.5925931930542
1575609792991,1.51,2019-12-06 05:23:10,2000.127,eth2,169.254.8.1,b9:4b:b1:33:88:d5,47.48979091644287
1575609793314,1.50,2019-12-06 05:23:10,2000.127,eth1,169.254.8.130,cf:b7:64:66:e5:61,47.32573652267456
1575609792877,1.42,2019-12-06 05:23:11,2000.187,eth1,169.254.8.130,9b:b8:4e:f7:45:16,48.06272649765015
1575609792983,1.23,2019-12-06 05:23:10,2000.161,lo,127.0.0.1,33:4d:68:e3:c0:82,48.070422887802124
1575609792887,1.22,2019-12-06 05:23:10,2000.161,lo,127.0.0.1,97:b7:46:da:0a:94,48.18583059310913
1575609792947,1.36,2019-12-06 05:23:11,2000.167,eth1,169.254.8.130,fd:0d:8a:0b:23:af,48.27140522003174
1575609792616,1.57,2019-12-06 05:23:10,2000.187,eth1,169.254.8.130,9d:f4:ae:f5:ac:15,49.120285511016846
1575609792871,1.32,2019-12-06 05:23:10,2000.187,eth1,169.254.8.130,af:07:9d:84:5c:14,48.91024208068848
1575609793158,1.51,2019-12-06 05:23:11,2000.165,lo,127.0.0.1,69:da:0f:03:f5:60,48.659287214279175
1575609793105,1.60,2019-12-06 05:23:11,2000.165,eth0,192.168.1.1,95:08:8e:cc:09:7d,48.784905433654785
1575609792878,1.38,2019-12-06 05:23:11,2000.167,eth2,169.254.8.1,c5:c2:ad:fb:3a:da,49.113380670547485
1575609793166,1.16,2019-12-06 05:23:11,2000.167,lo,127.0.0.1,0d:e4:44:e0:8a:71,49.089882612228394
1575609794241,1.32,2019-12-06 05:23:11,2000.165,lo,127.0.0.1,bb:0a:29:1c:36:b8,48.04413414001465
1575609793408,1.77,2019-12-06 05:23:11,2000.159,eth1,169.254.8.130,a3:6c:83:d2:b7:7b,49.53590488433838
1575609794006,1.46,2019-12-06 05:23:11,2000.14,eth1,169.254.8.130,97:40:9d:de:e6:2d,49.34813141822815
1575609793469,1.73,2019-12-06 05:23:11,2000.159,eth2,169.254.8.1,d7:8d:16:08:c4:e7,49.89187717437744
1575609793564,1.61,2019-12-06 05:23:11,2000.159,eth2,169.254.8.1,a5:7e:33:f9:ed:91,50.08438014984131
1575609793929,2.01,2019-12-06 05:23:11,2000.17,eth1,169.254.8.130,bf:8e:2e:3f:d5:be,49.98564410209656
1575609793717,1.99,2019-12-06 05:23:11,2000.175,eth0,192.168.1.1,3f:76:52:e8:a7:56,50.19197130203247
1575609794703,3.26,2019-12-06 05:23:11,2000.159,lo,127.0.0.1,39:64:43:59:39:b2,49.29310083389282
1575609794183,1.52,2019-12-06 05:23:12,2000.14,lo,127.0.0.1,73:f6:68:a9:2c:1b,49.806333780288696
1575609793978,1.80,2019-12-06 05:23:12,2000.175,eth2,169.254.8.1,05:78:2a:fa:72:93,50.149688482284546
1575609793621,1.95,2019-12-06 05:23:11,2000.175,eth2,169.254.8.1,97:28:c5:02:49:09,50.54136872291565
1575609792708,1.62,2019-12-06 05:23:10,2000.182,eth1,169.254.8.130,77:d9:77:3e:f8:64,51.454148054122925
1575609793675,2.02,2019-12-06 05:23:11,2000.14,eth2,169.254.8.1,b9:44:c3:78:29:e8,50.49291253089905
1575609792827,1.75,2019-12-06 05:23:10,2000.165,lo,127.0.0.1,01:92:93:d3:6e:50,51.43328380584717
1575609794701,2.96,2019-12-06 05:23:10,2000.159,eth0,192.168.1.1,3d:e4:c8:b1:51:89,49.820518255233765
1575609793269,1.59,2019-12-06 05:23:11,2000.133,eth1,169.254.8.130,b7:ea:34:93:48:cb,51.27001738548279
1575609792916,1.62,2019-12-06 05:23:11,2000.171,lo,127.0.0.1,c9:c6:c0:29:b5:72,51.650184869766235
1575609793242,1.70,2019-12-06 05:23:11,2000.133,eth2,169.254.8.1,db:2c:83:e3:73:18,51.30133056640625
1575609793069,1.16,2019-12-06 05:23:11,2000.165,eth2,169.254.8.1,55:15:d8:dc:04:ff,51.58304786682129
1575609793587,2.33,2019-12-06 05:23:11,2000.07,eth0,192.168.1.1,5f:94:b5:e3:f1:cc,51.09589886665344
1575609794297,1.19,2019-12-06 05:23:12,2000.17,eth0,192.168.1.1,f3:05:89:69:8d:06,50.41093587875366
1575609794935,2.28,2019-12-06 05:23:12,2000.159,eth0,192.168.1.1,97:97:d9:bf:c8:0c,49.85248374938965
1575609793715,2.31,2019-12-06 05:23:11,2000.07,lo,127.0.0.1,7f:3f:73:cd:df:0b,51.10871720314026
1575609793236,1.28,2019-12-06 05:23:11,2000.165,eth0,192.168.1.1,4f:cf:31:ce:51:b6,51.59432935714722
1575609794210,1.23,2019-12-06 05:23:12,2000.17,eth0,192.168.1.1,1d:79:05:1b:ab:a4,50.65063261985779
1575609793069,1.66,2019-12-06 05:23:11,2000.171,eth0,192.168.1.1,eb:78:6e:5c:bb:df,51.85041069984436
1575609793871,1.04,2019-12-06 05:23:12,2000.133,eth2,169.254.8.1,55:29:99:f1:e2:53,51.05266308784485
1575609793109,1.84,2019-12-06 05:23:11,2000.167,eth0,192.168.1.1,9b:7e:df:82:d1:84,51.88146114349365
1575609792737,1.81,2019-12-06 05:23:10,2000.182,lo,127.0.0.1,5f:94:c3:dc:55:72,52.28476667404175
1575609793154,1.05,2019-12-06 05:23:11,2000.182,eth0,192.168.1.1,d3:2d:dd:bd:06:a5,52.052119970321655
1575609793166,1.76,2019-12-06 05:23:11,2000.076,eth2,169.254.8.1,d7:d4:b7:5e:fe:38,52.03978443145752
1575609793556,1.49,2019-12-06 05:23:11,2000.171,eth0,192.168.1.1,bb:99:b0:e2:d3:8e,51.71990442276001
1575609793101,1.79,2019-12-06 05:23:11,2000.083,lo,127.0.0.1,6b:b2:b5:a0:54:b5,52.325451135635376
1575609794145,1.67,2019-12-06 05:23:11,2000.07,eth2,169.254.8.1,41:79:e0:a2:18:76,51.44758367538452
1575609793474,1.75,2019-12-06 05:23:11,2000.169,eth2,169.254.8.1,2b:6b:c5:00:95:44,52.128090620040894
1575609793076,1.87,2019-12-06 05:23:11,2000.083,lo,127.0.0.1,67:60:1b:6a:ef:af,52.59290885925293
1575609793662,1.52,2019-12-06 05:23:11,2000.083,eth2,169.254.8.1,65:0a:ab:05:94:78,52.048969984054565
1575609793418,1.64,2019-12-06 05:23:11,2000.169,eth1,169.254.8.130,77:de:bf:52:5c:34,52.418391704559326
1575609793485,2.07,2019-12-06 05:23:11,2000.073,eth2,169.254.8.1,95:02:b7:99:a8:26,52.39998126029968
1575609794690,2.45,2019-12-06 05:23:11,2000.178,eth0,192.168.1.1,ff:d7:86:a2:03:e4,51.22252869606018
1575609793582,1.55,2019-12-06 05:23:11,2000.169,lo,127.0.0.1,ff:b4:e4:17:26:16,52.42859959602356
1575609793538,2.39,2019-12-06 05:23:10,2000.073,eth1,169.254.8.130,19:39:1c:f3:02:55,52.50364112854004
1575609793665,1.46,2019-12-06 05:23:11,2000.076,eth0,192.168.1.1,d9:58:46:52:92:8a,52.50722646713257
1575609794492,1.30,2019-12-06 05:23:12,2000.186,eth0,192.168.1.1,7f:38:54:38:27:b5,51.76155209541321
1575609793357,1.96,2019-12-06 05:23:11,2000.167,lo,127.0.0.1,ed:1d:3e:b9:b9:4e,52.93852710723877
1575609794036,1.29,2019-12-06 05:23:12,2000.073,eth2,169.254.8.1,ff:8d:49:ca:15:63,52.26981854438782
1575609793335,1.73,2019-12-06 05:23:10,2000.076,lo,127.0.0.1,bb:c2:03:c5:57:8f,53.01461672782898
1575609792919,1.82,2019-12-06 05:23:10,2000.165,eth1,169.254.8.130,79:cc:bd:fb:c1:69,53.486751317977905
1575609794203,1.88,2019-12-06 05:23:12,2000.186,eth2,169.254.8.1,5f:2f:a4:5b:f0:fa,52.501630783081055
1575609794234,1.86,2019-12-06 05:23:12,2000.186,lo,127.0.0.1,53:6a:a9:2b:31:56,52.489664793014526
1575609794226,1.84,2019-12-06 05:23:11,2000.167,eth1,169.254.8.130,47:22:2d:9a:12:fd,52.47529196739197
1575609794700,2.59,2019-12-06 05:23:11,2000.178,eth2,169.254.8.1,05:50:b5:7f:65:98,52.08844518661499
1575609795856,1.97,2019-12-06 05:23:12,2000.178,eth2,169.254.8.1,6f:c2:9d:53:92:0c,51.56566095352173
1575609793276,1.74,2019-12-06 05:23:11,2000.165,lo,127.0.0.1,9d:64:ac:2e:9c:2a,54.12821936607361
1575609793525,2.14,2019-12-06 05:23:11,2000.172,eth0,192.168.1.1,97:1f:ec:10:4c:93,54.02704834938049
1575609793367,2.01,2019-12-06 05:23:11,2000.172,eth1,169.254.8.130,d7:2c:ff:9a:8c:b7,54.31798052787781
1575609794388,2.29,2019-12-06 05:23:11,2000.172,eth2,169.254.8.1,ed:ce:40:54:3e:bf,53.31471347808838
1575609793457,1.56,2019-12-06 05:23:11,2000.165,eth1,169.254.8.130,39:68:18:70:fc:99,54.40733218193054
1575609793953,1.72,2019-12-06 05:23:11,2000.177,eth2,169.254.8.1,55:1c:59:43:e8:b8,54.27460503578186
1575609793524,1.94,2019-12-06 05:23:11,2000.177,eth2,169.254.8.1,41:1a:34:a3:21:84,54.86674642562866
1575609794752,2.66,2019-12-06 05:23:11,2000.187,eth2,169.254.8.1,39:f9:03:77:b0:85,53.88162636756897
1575609794507,1.49,2019-12-06 05:23:11,2000.177,eth1,169.254.8.130,4b:e7:b5:79:6a:8a,54.26640176773071
1575609797585,3.83,2019-12-06 05:23:11,2000.144,lo,127.0.0.1,55:7d:f4:76:1a:93,51.36144828796387
1575609794202,2.78,2019-12-06 05:23:11,2000.176,lo,127.0.0.1,7f:da:be:85:58:65,54.93925452232361
1575609796911,4.36,2019-12-06 05:23:11,2000.144,eth1,169.254.8.130,29:cc:c1:8a:3a:6a,52.39795708656311
1575609797213,3.78,2019-12-06 05:23:12,2000.144,eth2,169.254.8.1,45:8b:87:9e:0b:bf,52.11796307563782
1575609795010,2.39,2019-12-06 05:23:11,2000.187,eth2,169.254.8.1,13:68:e5:91:72:bb,54.47037720680237
1575609793546,2.09,2019-12-06 05:23:11,2000.176,eth0,192.168.1.1,f5:c3:e8:4b:cb:10,56.030205488204956
1575609795628,2.02,2019-12-06 05:23:12,2000.187,eth2,169.254.8.1,91:ae:6a:e5:dd:ca,54.173853397369385
1575609795402,3.21,2019-12-06 05:23:12,2000.161,lo,127.0.0.1,ab:34:ef:01:c9:77,54.62370824813843
1575609794066,2.15,2019-12-06 05:23:11,2000.176,eth0,192.168.1.1,9b:4d:3c:48:02:51,56.193933725357056
1575609794310,2.44,2019-12-06 05:23:11,2000.176,eth1,169.254.8.130,1d:93:ce:7b:02:ec,55.93943548202515
1575609795363,2.15,2019-12-06 05:23:12,2000.176,eth0,192.168.1.1,97:9f:d5:a6:31:47,55.21601986885071
1575609796519,3.14,2019-12-06 05:23:13,2000.161,lo,127.0.0.1,a7:f1:01:06:39:db,54.79183626174927
1575609794389,1.87,2019-12-06 05:23:11,2000.176,lo,127.0.0.1,33:5b:6d:05:d1:f3,57.37101149559021
1575609796633,3.28,2019-12-06 05:23:11,2000.161,eth1,169.254.8.130,49:7b:30:71:82:fa,55.21614146232605
